Gyroscope self-test executed 1000 times, average result taken for each axis. (Success under 14)




X = 1.53974 :  Y = -3.091 :  Z = 2.46994
X = 0.0622119 :  Y = -0.3091 :  Z = 2.48182
X = 3.26612 :  Y = -0.357905 :  Z = 2.00683
X = 0.295506 :  Y = -3.87188 :  Z = 0.0712483
X = 2.19297 :  Y = -3.00966 :  Z = 2.69556
X = 3.29723 :  Y = -0.780884 :  Z = 1.93558
X = 2.0841 :  Y = -3.091 :  Z = 2.52932
X = 1.69527 :  Y = -3.10727 :  Z = 2.35119
X = 3.1417 :  Y = -0.943568 :  Z = 1.91183
X = 3.95046 :  Y = -0.911031 :  Z = 2.2562
X = 1.88191 :  Y = -3.1398 :  Z = 2.32744
X = 2.51958 :  Y = -2.58668 :  Z = 2.73119
X = 3.57718 :  Y = -0.471784 :  Z = 1.74558
X = 3.74827 :  Y = -0.634468 :  Z = 2.65994
X = 0.342165 :  Y = -3.93696 :  Z = 2.67181
X = 0.186636 :  Y = -0.829689 :  Z = 2.44619
X = 2.92396 :  Y = -0.894763 :  Z = 2.0662
X = 1.47753 :  Y = -3.12353 :  Z = 2.33932
X = 1.53974 :  Y = -3.28622 :  Z = 2.76681
X = 3.76382 :  Y = -0.992373 :  Z = 2.04245
X = 0.311059 :  Y = -0.569394 :  Z = 0.62936
X = 3.9349 :  Y = -0.878494 :  Z = 2.38682
X = 3.62384 :  Y = -0.390442 :  Z = 2.19682
X = 2.14631 :  Y = -3.28622 :  Z = 2.79056
X = 3.87269 :  Y = -0.650736 :  Z = 2.43432
X = 2.76843 :  Y = -2.11489 :  Z = 2.83806
X = 3.79493 :  Y = -0.878494 :  Z = 1.70996
X = 2.84619 :  Y = -0.422979 :  Z = 2.12557
X = 3.18836 :  Y = -0.40671 :  Z = 2.24432
X = 1.41532 :  Y = -2.76563 :  Z = 3.02805
X = 1.80414 :  Y = -2.71682 :  Z = 2.67181
X = 3.54608 :  Y = -0.569394 :  Z = 2.49369
X = 0.171083 :  Y = -0.585663 :  Z = 2.10183
X = 1.60196 :  Y = -3.091 :  Z = 2.04245
X = 2.20852 :  Y = -2.42399 :  Z = 2.41057
X = 3.25057 :  Y = -0.911031 :  Z = 2.80243
X = 0.015553 :  Y = -0.732078 :  Z = 1.57934
X = 2.19297 :  Y = -2.55414 :  Z = 1.61496
X = 1.83525 :  Y = -2.37519 :  Z = 2.55306
X = 3.42165 :  Y = -0.178953 :  Z = 1.89995
X = 2.02189 :  Y = -3.12353 :  Z = 2.51744
X = 2.30184 :  Y = -2.96085 :  Z = 2.46994
X = 3.48387 :  Y = -0.780884 :  Z = 2.04245
X = 1.39977 :  Y = -2.99339 :  Z = 2.68369
X = 1.91302 :  Y = -2.8307 :  Z = 2.52932
X = 3.76382 :  Y = -0.878494 :  Z = 2.46994
X = 3.07949 :  Y = -0.862226 :  Z = 1.89995
X = 1.69527 :  Y = -2.7819 :  Z = 2.56494
X = 3.65495 :  Y = -1.20386 :  Z = 1.95933
X = 3.82603 :  Y = -0.325368 :  Z = 2.42244
X = 3.85714 :  Y = -4.03457 :  Z = 2.81431
X = 1.39977 :  Y = -2.4728 :  Z = 0.0593736
X = 3.07949 :  Y = -1.12252 :  Z = 2.80243
X = 3.65495 :  Y = -0.878494 :  Z = 2.31557
X = 1.50864 :  Y = -3.35129 :  Z = 2.55306
X = 3.9038 :  Y = -0.748347 :  Z = 2.75493
X = 2.84619 :  Y = -1.65938 :  Z = 1.59121
X = 1.74193 :  Y = -3.12353 :  Z = 2.69556
X = 1.53974 :  Y = -2.68429 :  Z = 2.99243
X = 3.60829 :  Y = -1.36655 :  Z = 1.70996
X = 3.46831 :  Y = -0.732078 :  Z = 2.70744
X = 0.15553 :  Y = -0.390442 :  Z = 2.36307
X = 3.25057 :  Y = -0.40671 :  Z = 2.03058
X = 3.57718 :  Y = -0.650736 :  Z = 2.22057
X = 3.88824 :  Y = -1.10625 :  Z = 2.43432
X = 1.99078 :  Y = -3.20488 :  Z = 2.57681
X = 2.13076 :  Y = -2.42399 :  Z = 2.43432
X = 2.98617 :  Y = -1.10625 :  Z = 1.63871
X = 1.8508 :  Y = -2.60295 :  Z = 2.45807
X = 2.75288 :  Y = -1.25267 :  Z = 1.63871
X = 3.39055 :  Y = -0.699542 :  Z = 2.3037
X = 1.66417 :  Y = -3.51398 :  Z = 2.54119
X = 0.435483 :  Y = -2.66802 :  Z = 2.99243
X = 2.8773 :  Y = -1.02491 :  Z = 2.14932
X = 3.9349 :  Y = -0.634468 :  Z = 2.44619
X = 1.50864 :  Y = -3.30249 :  Z = 2.0662
X = 2.09965 :  Y = -3.091 :  Z = 2.38682
X = 3.4061 :  Y = -1.13879 :  Z = 1.95933
X = 3.91935 :  Y = -0.439247 :  Z = 2.31557
X = 1.78859 :  Y = -2.94458 :  Z = 2.67181
X = 3.34389 :  Y = -0.276563 :  Z = 1.81683
X = 3.4061 :  Y = -0.927299 :  Z = 2.08995
X = 2.27073 :  Y = -3.49771 :  Z = 3.01618
X = 1.0265 :  Y = -3.61159 :  Z = 0.273119
X = 3.53052 :  Y = -0.0325368 :  Z = 2.07808
X = 3.59274 :  Y = -0.797152 :  Z = 2.31557
X = 1.52419 :  Y = -2.8307 :  Z = 2.52932
X = 3.26612 :  Y = -0.780884 :  Z = 1.76933
X = 3.57718 :  Y = -0.6182 :  Z = 2.17307
X = 2.47292 :  Y = -2.94458 :  Z = 2.48182
X = 2.13076 :  Y = -2.86324 :  Z = 2.62431
X = 3.77937 :  Y = -1.25267 :  Z = 2.0187
X = 3.91935 :  Y = -0.390442 :  Z = 2.23245
X = 1.94412 :  Y = -2.84697 :  Z = 2.32744
X = 2.06855 :  Y = -3.10727 :  Z = 0
X = 3.51497 :  Y = -0.585663 :  Z = 2.27995
X = 3.48387 :  Y = -0.422979 :  Z = 2.42244
X = 1.94412 :  Y = -2.89578 :  Z = 2.87368
X = 2.31739 :  Y = -2.73309 :  Z = 2.58869
X = 3.375 :  Y = -0.211489 :  Z = 2.22057
X = 2.02189 :  Y = -2.76563 :  Z = 2.52932
X = 2.00633 :  Y = -3.17234 :  Z = 2.62431
X = 3.6705 :  Y = -0.40671 :  Z = 2.50557
X = 3.4061 :  Y = -0.959836 :  Z = 1.78121
X = 2.0841 :  Y = -3.51398 :  Z = 2.39869
X = 2.09965 :  Y = -2.97712 :  Z = 2.64806
X = 3.65495 :  Y = -0.536858 :  Z = 2.14932
X = 3.84158 :  Y = -0.439247 :  Z = 2.45807
X = 1.21313 :  Y = -3.80681 :  Z = 1.76933
X = 3.60829 :  Y = -0.113879 :  Z = 1.84058
X = 3.46831 :  Y = -0.569394 :  Z = 2.05433
X = 2.02189 :  Y = -2.84697 :  Z = 2.89743
X = 2.25518 :  Y = -2.40772 :  Z = 2.49369
X = 3.57718 :  Y = -0.601931 :  Z = 1.86433
X = 1.61751 :  Y = -3.12353 :  Z = 1.81683
X = 2.31739 :  Y = -2.04982 :  Z = 0.783731
X = 3.20391 :  Y = -0.976105 :  Z = 1.54371
X = 1.36866 :  Y = -3.05846 :  Z = 2.83806
X = 1.53974 :  Y = -2.74936 :  Z = 2.61244
X = 3.17281 :  Y = -0.780884 :  Z = 1.95933
X = 3.87269 :  Y = -0.211489 :  Z = 1.9712
X = 0.108871 :  Y = -3.92069 :  Z = 0.178121
X = 3.53052 :  Y = -0.325368 :  Z = 1.70996
X = 3.88824 :  Y = -0.6182 :  Z = 2.32744
X = 1.71083 :  Y = -2.99339 :  Z = 2.48182
X = 1.91302 :  Y = -2.65175 :  Z = 2.71931
X = 3.51497 :  Y = -4.03457 :  Z = 1.75746
X = 1.92857 :  Y = -3.12353 :  Z = 2.55306
X = 3.65495 :  Y = -1.07372 :  Z = 1.9712
X = 3.88824 :  Y = -0.195221 :  Z = 2.2562
X = 1.61751 :  Y = -3.20488 :  Z = 2.56494
X = 2.05299 :  Y = -2.97712 :  Z = 2.55306
X = 0.015553 :  Y = -0.927299 :  Z = 0.474989
X = 3.82603 :  Y = -0.3091 :  Z = 2.50557
X = 0.264401 :  Y = -3.61159 :  Z = 0
X = 1.8508 :  Y = -2.60295 :  Z = 2.83806
X = 0.15553 :  Y = -0.439247 :  Z = 2.44619
X = 3.70161 :  Y = -0.894763 :  Z = 2.17307
X = 2.03744 :  Y = -3.12353 :  Z = 0.0712483
X = 3.31278 :  Y = -0.927299 :  Z = 2.49369
X = 0.0311059 :  Y = -0.992373 :  Z = 2.26807
X = 2.30184 :  Y = -3.35129 :  Z = 2.67181
X = 2.09965 :  Y = -3.22115 :  Z = 2.57681
X = 2.03744 :  Y = -2.31011 :  Z = 2.75493
X = 2.65956 :  Y = -2.34265 :  Z = 0.451239
X = 3.71716 :  Y = -0.520589 :  Z = 2.37494
X = 2.23963 :  Y = -2.45653 :  Z = 2.70744
X = 3.60829 :  Y = -0.569394 :  Z = 2.1137
X = 1.10426 :  Y = -4.11591 :  Z = 1.94745
X = 1.74193 :  Y = -3.51398 :  Z = 1.9237
X = 3.6394 :  Y = -4.11591 :  Z = 2.22057
X = 3.54608 :  Y = -0.601931 :  Z = 1.79308
X = 2.3485 :  Y = -2.94458 :  Z = 2.50557
X = 3.31278 :  Y = -1.07372 :  Z = 1.91183
X = 3.6705 :  Y = -0.553126 :  Z = 2.24432
X = 1.47753 :  Y = -3.72547 :  Z = 2.26807
X = 1.27534 :  Y = -3.4001 :  Z = 0.0949977
X = 3.46831 :  Y = -0.0813421 :  Z = 2.46994
X = 3.88824 :  Y = 0 :  Z = 2.70744
X = 1.66417 :  Y = -3.36756 :  Z = 2.67181
X = 2.25518 :  Y = -2.68429 :  Z = 2.98055
X = 3.56163 :  Y = -0.732078 :  Z = 1.98308
X = 3.96601 :  Y = -0.6182 :  Z = 2.50557
X = 1.80414 :  Y = -2.65175 :  Z = 2.93306
X = 1.89746 :  Y = -2.81443 :  Z = 2.45807
X = 0 :  Y = -1.05745 :  Z = 2.41057
X = 2.8773 :  Y = -1.88714 :  Z = 0.866854
X = 3.42165 :  Y = -0.260295 :  Z = 2.33932
X = 3.73271 :  Y = -0.862226 :  Z = 2.00683
X = 3.31278 :  Y = -0.911031 :  Z = 1.86433
X = 1.2909 :  Y = -2.86324 :  Z = 2.61244
X = 1.97523 :  Y = -2.8307 :  Z = 2.83806
X = 3.95046 :  Y = -0.634468 :  Z = 2.27995
X = 3.35944 :  Y = -0.878494 :  Z = 2.00683
X = 1.64862 :  Y = -2.89578 :  Z = 2.79056
X = 3.62384 :  Y = -4.03457 :  Z = 2.23245
X = 3.54608 :  Y = -0.422979 :  Z = 2.45807
X = 3.84158 :  Y = -0.195221 :  Z = 2.45807
X = 0.544354 :  Y = -3.36756 :  Z = 2.96868
X = 3.60829 :  Y = -0.732078 :  Z = 2.27995
X = 3.82603 :  Y = -0.732078 :  Z = 2.37494
X = 3.46831 :  Y = -0.813421 :  Z = 2.24432
X = 2.19297 :  Y = -2.48907 :  Z = 2.71931
X = 3.45276 :  Y = -1.04118 :  Z = 2.04245
X = 3.43721 :  Y = -0.585663 :  Z = 2.0662
X = 1.80414 :  Y = -3.1398 :  Z = 2.75493
X = 2.00633 :  Y = -2.84697 :  Z = 2.63619
X = 3.65495 :  Y = -0.699542 :  Z = 1.86433
X = 3.77937 :  Y = -0.178953 :  Z = 2.48182
X = 3.91935 :  Y = -0.699542 :  Z = 2.38682
X = 3.29723 :  Y = -0.667005 :  Z = 2.0662
X = 3.74827 :  Y = -0.211489 :  Z = 1.89995
X = 1.83525 :  Y = -3.04219 :  Z = 2.61244
X = 2.50403 :  Y = -2.81443 :  Z = 2.79056
X = 1.41532 :  Y = -3.87188 :  Z = 1.48434
X = 0.435483 :  Y = -0.195221 :  Z = 1.35372
X = 2.79954 :  Y = -1.75699 :  Z = 1.43684
X = 1.83525 :  Y = -3.26995 :  Z = 2.35119
X = 3.11059 :  Y = -1.05745 :  Z = 1.76933
